keys,zh_CN,en
UI_SETTING_FPS_UNLIMITED,不限制,Unlimited
UI_LOCALE_ZH_CN,简体中文,Simplified Chinese
UI_LOCALE_EN,English,English
UI_CHARACTER,角色,Character
UI_CODEX_FILTER_RACE,种族,Race
UI_CODEX_CHAR_TXT_FILTER,角色名或描述,Character Name Or Desc
UI_CODEX_ANIM,动作,Anim
UI_CHARACTER_DETAILS_TITLE,角色详情,Character Details
UI_RACE_HUMAN,人族,Human
UI_RACE_CANINE,犬科,Canine
UI_RACE_FELINE,猫科,Feline
UI_RACE_BIRD,鸟类,Bird
UI_RACE_INSECT,昆虫,Insect
UI_RACE_BEAST,野兽,Beast
UI_RACE_FISH,水族,Fish
UI_RACE_REPTILE,爬行,Reptile
UI_RACE_PLANT,植物,Plant
UI_RACE_MACHINE,机械,Machine
UI_RACE_DEMONIC,恶魔,Demonic
UI_RACE_ANGEL,天使,Angel
UI_RACE_DRAGON,龙族,Dragon
UI_RACE_GOD,神族,God
UI_RACE_DEVIL,魔族,Devil
UI_RACE_UNDEAD,不死,Undead
UI_RACE_UNKNOWN,未知,Unknown
COND_HAS_FLAG_SHORT,条件未满足,Requirement not met
COND_HAS_FLAG_LONG,需要旗标,Requires flag
COND_NOT_HAS_FLAG_SHORT,条件未满足,Requirement not met
COND_NOT_HAS_FLAG_LONG,不能拥有旗标,Must not have flag
COND_HAS_ALL_ITEMS_SHORT,物品不足,Not enough items
COND_HAS_ALL_ITEMS_LONG,需要全部物品,Requires all items
COND_HAS_ANY_ITEM_SHORT,物品不足,Not enough items
COND_HAS_ANY_ITEM_LONG,需要任一物品,Requires any item
UI_RUN_STORY_SELECT_TITLE,选择故事,Select Story
UI_STORY_LIST,故事列表,Stories
UI_STORY_DETAILS,故事详情,Story Details
UI_STORY_NAME,名称,Name
UI_STORY_AUTHOR,作者,Author
UI_STORY_MOD,所属 Mod,Mod
UI_STORY_DESC,描述,Description
UI_STORY_MODE,模式,Mode
UI_STORY_MODE_SINGLE,仅单人,Single-player Only
UI_STORY_MODE_COOP,可联机,Co-op
UI_STORY_LOCKED,未解锁,Locked
UI_STORY_UNLOCK_REQUIRED,未满足开启条件,Requirements not met
UI_RUN_SEED_INPUT_LABEL,种子（-1 随机）,Seed (-1 = Random)
UI_RUN_START,开始 Run,Start Run
UI_RUN_ABANDON,放弃 Run,Abandon Run
UI_RUN_PHASE_LABEL,阶段,Phase
UI_RUN_RING_LABEL,环,Ring
UI_RUN_SEED_VALUE,种子,Seed
UI_RUN_GOLD_LABEL,金币,Gold
UI_RUN_CONFIRM_ABANDON_TITLE,放弃 Run,Abandon Run
UI_RUN_CONFIRM_ABANDON_DESC,确定要放弃本次 Run 吗？,Abandon this run?
UI_RUN_PHASE_INIT,初始,Init
UI_RUN_PHASE_EVENT,事件,Event
UI_RUN_PHASE_REWARD,奖励,Reward
UI_RUN_PHASE_BATTLE,战斗,Battle
UI_RUN_PHASE_BATTLEEND,战斗结算,Battle End
UI_RUN_PHASE_RINGEND,环结束,Ring End
UI_RUN_PHASE_FINISHED,已结束,Finished
